Partlist,Value,Device,Parts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,.1u,C-EU0402-B-NOSILK,C85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,R-US_0603-B-NOSILK,R144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10K,R-US_0402-B-NOSILK,R65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,10k,R-US_0402-B-NOSILK,R12, R18, R21, R21-17, R22, R27, R29, R34, R35, R40, R41, R42, R43, R47, R59, R61, R64, R108, R109, R113, R114, R130, R131, R150,,,,,,,,,,,,,,,,,,,,,,,
1,10m/PMR18EZPFU10L0/0.5 Watt,R-US_1206-B,R134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10m/WSLP1206R0100FEA/1.0 Watt,R-US_1206-B,R146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10n,C-EU0402-B-NOSILK,C12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10p,C-EU0402-B-NOSILK,C106, C107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10u,C-EU0603-A-NOSILK,C77, C78, C79, C80, C81, C82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10uF,C-EU1206-B,C119, C120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10uF/40V,C-EU1206-B,C117, C118, C123, C125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25 MHz,8Y,C134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49.9k,R-US_0402-B-NOSILK,R74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,51,R-US_0402-B-NOSILK,R75, R76, R77, R78, R79, R80, R81, R82, R83, R84, R85, R86, R87, R88, R89, R90, R91, R92, R93, R94, R95, R96, R97, R98, R100, R101, R102, R103, R104, R105, R106, R115, R149, R152, R153, R154, R155, R156, R157, R158, R159, R160, R161, R162, R163, R164, R165
1,66.5k,R-US_0402-B-NOSILK,R138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,100,R-US_0402-B-NOSILK,R167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,100R,R-US_0402-B-NOSILK,R168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,100k,R-US_0402-B-NOSILK,R139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,100n,C-EU0402-B-NOSILK,C1, C2, C3, C4, C5, C6, C10, C11, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C86,,,,,,
1,100n/40V,C-EU0402-B-NOSILK,C39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,100pF,C-EU0402-B-NOSILK,C110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,154k,R-US_0402-B-NOSILK,R73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,316k,R-US_0402-B-NOSILK,R142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,430k,R-US_0402-B-NOSILK,R137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,750,R-US_0402-B-NOSILK,R1, R5, R9, R16, R19, R20, R23, R24, R26, R28, R30, R32, R33, R36, R38, R39, R44, R45, R46, R50, R53, R57, R63, R107, R110, R112, R128,,,,,,,,,,,,,,,,,,,,
